,City name,Reporting year (CDP),Year of emission,Total emissions (CDP) [tCO2-eq],CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Country,Population (CDP),Population year (CDP),City area (CDP) [km2],Built-up area (PKU) [km2],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Income per capita (PKU) [RMB/capita],Total final consumption per capita (GEA) [GJ/capita/yr],Household size (GEA+) [people/household],Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Population density [people/km2],GDP (USD)
69,Copenhagen,2016,2015,1450358,,"(55.6760968, 12.5683371)",Denmark,591481,2015,86,,9,8,,80.63,1.95,31.02,2014-2017,1.8,2.01,134.5,142.875,147.75,375.875,389.1875,406,0.263531717,0.268530483,0.266817156,0.736468283,0.731469517,0.733182844,1402.420184,14756.51256,244.0903163,3127.55491,236.0415926,3500.963316,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,6877.686047,1.27001E+11
70,Curitiba,2016,2013,3036279,,"(-25.431063, -49.264693)",Brazil,1751907,2010,434,,935,18,,,3.15,32.1,2009,1.02,1.27,284.75,290.625,294.0625,561.3125,578.5,600.125,0.33655906,0.334388034,0.328859999,0.66344094,0.665611966,0.671140001,468.1629498,3110.09075,345.5102623,4174.853716,365.133101,4881.315179,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,4036.652074,57654000000
71,Dalian,2016,2010,,2.299264701,"(38.9208333333, 121.63916666700001)",China,5720800,2010,13237,513.5,,,46214.99,134.5106047,3.14,,,1.09,1.17,189.5,194.25,221.0625,385.0625,436.6875,516.25,0.329816164,0.307875186,0.299821989,0.670183836,0.692124814,0.700178011,509.767309,5399.014102,548.4490214,6841.693034,424.4321354,6896.686773,,,,,,,432.1825187,51612264254
72,Dallas,2016,2010,17229388,,"(32.7801399, -96.8004511)",USA,1257676,2013,999,,148,19.4,,,2.6,26.55,2013,0.97,0.86,1605.5,1557.25,1487.9375,2924.1875,3462.1875,3966.5,0.354439462,0.310243927,0.272793941,0.645560538,0.689756073,0.727206059,464.2112466,1231.647084,231.8445487,1197.437,164.1527209,1489.350721,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1258.934935,4.12674E+11
73,Dandong,2016,2010,,0.441072141,"(40.1166666667, 124.383333333)",China,865576,,830,95.2,,,25111.7,,,,,1.09,1.17,102.875,123.0625,135.625,67,77.0625,89.375,0.605592347,0.61492817,0.602777778,0.394407653,0.38507183,0.397222222,417.1072743,1192.788335,2447.241617,12257.09007,2178.862832,11754.36569,,,,,,,1042.862651,3923954953
74,Daqing,2016,2010,,2.103472,"(46.5833333333, 125.0)",China,1649825,,5107,207.5,,,49135.63,,,,,1.09,1.17,140.375,156.6875,160.5,97.4375,133.25,183.6875,0.590275953,0.540418194,0.466315598,0.409724047,0.459581806,0.533684402,776.5768967,4662.570001,587.4156366,3462.866764,407.6656881,3123.797518,,,,,,,323.0516938,39595474485
75,Datong,2016,2010,,0.822655481,"(40.0833333333, 113.3)",China,1737517,,2080,185.4,,,36137.7,,,,,1.09,1.17,124.9375,136.0625,151.625,214.6875,243.875,277.625,0.367868973,0.358118112,0.353232382,0.632131027,0.641881888,0.646767618,2702.073382,12557.83533,724.0597031,5764.490045,601.7516356,5814.251385,,,,,,,835.3447115,8479290610
76,"Davis, CA",2016,2010,348437,,"(38.544907, -121.740517)",USA,65600,2010,25,,15,23,,,2.64,21.4,(2011-2015) ,0.97,0.86,18.5,18.25,21.75,24.125,30.1875,34.1875,0.434017595,0.376774194,0.388826816,0.565982405,0.623225806,0.611173184,1088.347828,1584,123.004321,1985.320378,97.62514462,2270.500618,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,2624,
77,Dehradun,2016,2008,,,"(30.318, 78.029)",India,447808,2001,300,,,,,,,,,0.91,1.1,51.1875,59.5,71.9375,37.6875,46.4375,55.6875,0.575949367,0.561651917,0.563663075,0.424050633,0.438348083,0.436336925,2267.801535,18125.92231,1796.092294,14405.04043,2067.856876,17617.59892,,,,,,,1492.693333,878670829.2
78,Denver,2016,2014,8942000,,"(39.737567, -104.9847179)",USA,663862,2014,401,,1609,10.1,,221.4957092,2.5,24.8,(2011-2015) ,0.97,0.86,358.25,363.75,362.5625,953.5625,1076.875,1162.6875,0.273095431,0.252494577,0.237706933,0.726904569,0.747505423,0.762293067,293.1281992,1055.41478,351.7017937,1707.258993,312.4717201,2009.896649,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1655.516209,1.69737E+11
79,Detroit,2016,2012,10329322,,"(42.331427, -83.0457538)",USA,688701,2013,359,,192,9,,,2.65,26.8,(2011-2015) ,0.97,0.86,1028.25,1045.75,1059.625,2356.1875,2628.3125,2743.75,0.303817104,0.284630433,0.278601242,0.696182896,0.715369567,0.721398758,599.0222326,3414.385983,279.7405128,1509.569168,218.5939815,1354.915843,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1918.387187,2.07538E+11
80,District of Columbia,2016,2013,7386407,,"(38.9071923, -77.0368707)",USA,672228,2015,158,,,14.7,,,2.22,29.7,(2011-2015) ,0.97,0.86,773.5625,780.4375,744.8125,1566.125,1791.375,2045.375,0.330626419,0.303458164,0.266939946,0.669373581,0.696541836,0.733060054,453.0302749,1522.10147,360.1120348,1930.566853,272.9229506,2071.29816,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,4254.607595,37174000000
81,Dublin,2016,2011,2942349,,"(53.344479, -6.270843)",Ireland,527612,2011,115,,85,10,,156.46,2.4,27.2,2011,1.84,1.92,144.125,157,165.1875,284.6875,317.1875,346.375,0.336102609,0.331092658,0.322907758,0.663897391,0.668907342,0.677092242,612.1727316,4618.495566,432.990879,3317.464724,320.4871361,3651.93132,0,1,0,0.009613222,0.028440849,0.028440849,4587.930435,90137000000
82,Durban,2016,2014,22587081,,"(-29.8586804, 31.0218404)",South Africa,3555868,2015,2292,,426,24,,,,35.12,2014-2017,1.17,1.19,384,391,381.8125,583.125,671.25,775.625,0.397053121,0.368086609,0.329877423,0.602946879,0.631913391,0.670122577,297.2913969,2358.530419,794.0345483,3754.738035,554.1960954,3898.099914,0,1,0,0.012230678,0.013961338,0.013961338,1551.425829,48908000000
83,Durham,2016,2015,4530469,,"(35.994, -78.8986)",USA,250815,2015,277,,,15,,,2.35,21.7,(2011-2015) ,0.97,0.86,57.75,55.1875,54.875,72.25,85.5,89.4375,0.444230769,0.392270102,0.380251191,0.555769231,0.607729898,0.619748809,437.5761869,1504.39708,437.841157,1139.176622,521.8220227,1448.990624,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,905.4693141,36966000000
84,Edmonton,2016,2014,16576702,,"(53.544389, -113.4909267)",Canada,878000,2014,684,,671,3.6,,,2.9,25.6,2011,1.16,1.17,110.5625,129.8125,151.75,267.9375,310.9375,365.3125,0.292107001,0.294526375,0.29348483,0.707892999,0.705473625,0.70651517,626.9417328,2497.604436,833.0978168,1996.022277,659.4734263,2569.183227,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,1283.625731,82958000000
85,Ekurhuleni,2016,2014,,,"(26.223000000000003, 28.166999999999998)",South Africa,3178470,2011,1975,,,,,61,3.2,,,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,,1609.351899,25980000000
86,"Emeryville, CA",2016,2014,167728,,"(37.831316, -122.285247)",USA,10570,2014,5.2,,7,15.1,,,1.74,28.7,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,2032.692308,
87,Eugene,2016,2015,1250000,,"(44.0519, -123.0867)",USA,151190,2013,113,,130,11.2,,,2.32,17.7,(2011-2015) ,0.97,0.86,88.8125,94.875,99.875,155.3125,162.8125,169.125,0.363799283,0.368178511,0.371282528,0.636200717,0.631821489,0.628717472,434.2404466,969.7555177,186.7044909,1330.339504,177.1295891,1453.621401,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1337.964602,13673000000
88,Faro,2016,2010,265.85,,"(37.019355, -7.93044)",Portugal,61214,2014,202.57,,200,17.8,,,2.4,18.91,2011,1.64,1.89,27.8125,30.5,32.375,14.5625,17.375,18.875,0.656342183,0.637075718,0.631707317,0.343657817,0.362924282,0.368292683,308.3679082,2026.317985,191.9640528,2483.41873,223.3645532,2662.664861,0,1,0,0.031127579,0.036136885,0.036136885,302.1868984,14686.41
89,Ferrara,2016,2007,1582605.13,,"(44.8357395, 11.6189949)",Italy,133155,2015,404,,9,15.5,,,2,,,2.01,2.14,36,45,54.4375,35.75,39.5625,49.125,0.50174216,0.532150776,0.525648763,0.49825784,0.467849224,0.474351237,401.2728081,4444.328365,274.3712164,2717.116844,204.7334664,1980.045272,68000000,7800000000,0.01,0.011383131,0.015145862,0.015113059,329.5915842,
90,Flagstaff,2016,2014,1211617.47,,"(35.1992, -111.6311)",USA,68667,2013,165,,2134,6.5,,,2.52,15.9,(2011-2015) ,0.97,0.86,16.75,18.25,19.375,6.75,7.4375,8.1875,0.712765957,0.710462287,0.702947846,0.287234043,0.289537713,0.297052154,463.8027744,1820.130989,1177.200419,1642.894846,1586.895848,1770.020079,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,416.1636364,5267000000
91,Florianópolis,2016,2013,1450465,,"(-27.5949884, -48.5481743)",Brazil,550000,2010,438,,3,20,,,2.83390872,,,1.02,1.27,92.3125,92.8125,92.3125,124.125,138.0625,152.5,0.426508807,0.402003249,0.377074292,0.573491193,0.597996751,0.622925708,1091.662483,5236.057313,425.3825952,3782.900595,495.2561184,4742.700807,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,1255.707763,13000000000
92,Fort Collins,2016,2016,,,"(40.58526, -105.084)",USA,164207,2016,147.77,,,,,124.5060546,2.48,,,0.97,0.86,39.0625,37.6875,35.8125,70.0625,78.625,83.6875,0.357961054,0.324019344,0.299686192,0.642038946,0.675980656,0.700313808,1056.412727,6539.067783,343.695063,1432.619122,278.2562891,1812.424098,,,,,,,1111.233674,
93,Fushun,2016,2010,,0.976612,"(41.8666666667, 123.9)",China,1410000,,1416,142.3,,,36060.07,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,995.7627119,9971996470
94,Fuxin,2016,2010,,0.399284934,"(41.0166666667, 121.65)",China,669317,,459,79.1,,,26098.08,,,,,1.09,1.17,90.4375,107.5625,118,112.3125,134.25,175.75,0.446054254,0.444817782,0.401702128,0.553945746,0.555182218,0.598297872,499.1706646,6401.304634,1120.972579,6038.455271,772.110257,4348.356023,,,,,,,1458.206972,2995094431
95,Fuzhou,2016,2010,,1.63083987,"(26.0761111111, 119.30638888899999)",China,6227300,,12177,518.1,,,38012.8,37.88314157,3.22,,,1.09,1.17,268.6875,272.0625,282.125,525.1875,556.5625,588.75,0.338450638,0.328330065,0.323955792,0.661549362,0.671669935,0.676044208,1647.649209,15032.49198,513.1042679,6167.950714,513.1036056,6704.009293,,,,,,,511.3985382,23211320563
96,Gandhinagar,2016,2011,,,"(23.22, 72.68)",India,208299,2011,177,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,,1176.830508,408715911.8
97,Genova,2016,2011,1810370,,"(44.347961, 9.318415)",Italy,592995,2014,1118,,19,15,,,2,,,2.01,2.14,47.25,48.5625,51.4375,71,72.0625,71.6875,0.399577167,0.402590674,0.417766497,0.600422833,0.597409326,0.582233503,308.6975135,3207.751667,766.4469745,8678.536871,741.7066921,8062.668778,68000000,7800000000,0.01,0.011383131,0.015145862,0.015113059,530.4069767,29223390000
98,Gladsaxe Kommune,2017,2015,331283,,"(55.733461, 12.488686)",Denmark,67347,2015,24.9,,,,,,2.179591837,,,1.8,2.01,,,,,,,,,,,,,,,,,,,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,2704.698795,5033428.571
99,Goiânia,2016,2010,2016320,,"(-16.6868912, -49.2647943)",Brazil,2173141,2010,739,,749,23.2,,,3.072295427,,,1.02,1.27,178.875,179.5625,189.625,299.625,356.125,423.75,0.373824451,0.335200093,0.309150194,0.626175549,0.664799907,0.690849806,802.5583628,6190.484401,575.8647699,4097.989305,502.0452454,4870.120654,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,2940.65088,23000000000
100,Graz,2016,1994,,,"(47.0667, 15.4333)",Austria,269997,2014,127.56,,,,,,2,,,1.55,1.6,52.75,53.25,54.6875,91.1875,103.3125,109.9375,0.366478506,0.34011976,0.332194381,0.633521494,0.65988024,0.667805619,264.7216507,2970.066221,259.6586951,2377.090214,279.8929843,2753.90036,,,,,,,2116.627469,1.35288E+11
101,Greater London,2016,2013,40190000,,"(51.504858, -0.078689)",United Kingdom,8600000,2015,1572,,35,11,,74.48595111,2.47,37,2009,1.99,1.92,652.8125,686.875,717.875,1948.0625,1984.0625,2069.3125,0.250997261,0.257166257,0.257562507,0.749002739,0.742833743,0.742437493,437.551272,3206.553498,314.2054559,4560.788534,282.4391653,5179.850923,10550000000,40990000000,0.26,0.018136258,0.026046307,0.02401042,5470.737913,4.9155E+11
102,Guangzhou,2016,2010,,1.98,"(23.133333333299998, 113.26666666700001)",China,7607200,,3843.43,918.7,,,56754.92,93.78921648,3.65,,,1.09,1.17,4285,4402.3125,4754.25,3414.875,4930.9375,6262.4375,0.556502541,0.471680551,0.431549865,0.443497459,0.528319449,0.568450135,371.0285569,6520.306042,814.776761,7919.364395,826.6934739,8758.235661,,,,,,,1979.273722,1.48563E+11
103,Guaratinguetá,2016,2015,548195.98,,"(-22.808027, -45.19422)",Brazil,119073,2015,751,,540,24,,,3.262937718,,,1.02,1.27,22.4375,21.75,22.375,27.875,29.75,32.375,0.445962733,0.422330097,0.408675799,0.554037267,0.577669903,0.591324201,1269.584057,4002.595233,427.129402,3794.190105,320.7000631,3878.583072,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,158.5525965,227194383.3
104,Guiyang,2016,2010,,0.361320941,"(26.65, 106.633333333)",China,3545200,,8034,202.8,,,31050.91,97.90116476,3.66,,,1.09,1.17,154.1875,188.625,269.4375,114.375,133.375,203.375,0.57412148,0.585791925,0.569861203,0.42587852,0.414208075,0.430138797,3158.899762,18580.96032,3239.784087,15691.38266,2095.505882,13429.40461,,,,,,,441.274583,12418577900
105,Gwalior,2016,2013,,,"(26.218290000000003, 78.18283100000001)",India,1069276,2011,289,,,,,,,,,0.91,1.1,32.5,36.75,45.0625,59.5625,64.875,71.6875,0.353021045,0.361623616,0.385974304,0.646978955,0.638376384,0.614025696,3633.023962,14578.07133,1875.981281,17762.5576,2068.758961,21406.56453,,,,,,,3699.916955,121076105
106,Gävle,2016,2011,,,"(60.6749, 17.1413)",Sweden,98524,2015,42.45,,,,,388.4260029,3.2,,,1.82,1.82,22.75,24.6875,24.375,26.3125,27.375,29.875,0.463694268,0.474189676,0.449308756,0.536305732,0.525810324,0.550691244,371.2665571,2289.011212,341.7722046,2430.438574,339.6254166,2426.567755,,,,,,,2320.942285,
107,Haerbin,2016,2010,,1.56,"(45.75, 126.633333333)",China,9804000,,53000,349.6,,,35025.27,55.73525289,3.22,,,1.09,1.17,244.875,286.25,300.6875,416.0625,488,617.6875,0.370496454,0.369712625,0.327412549,0.629503546,0.630287375,0.672587451,180.0829856,2732.090746,643.5360638,7858.696718,622.467378,7336.148259,,,,,,,184.9811321,38826395982
108,Haikou,2016,2010,,0.58,"(20.0427777778, 110.34166666700001)",China,1766800,2010,2237,139.9,,,34191.99,31.06682675,4.23,,,1.09,1.17,97.6875,105.3125,113.5,74.875,107.6875,150.8125,0.566099239,0.494424883,0.429415938,0.433900761,0.505575117,0.570584062,3691.950354,18161.76564,1559.374639,8946.000742,1281.284576,10596.74952,,,,,,,789.8077783,8949543429
109,Hamburg,2016,2013,17755,,"(53.5510846, 9.9936818)",Germany,1762791,2014,755,,6,8.8,,104.792956,1.86,29.5,2012,1.58,1.8,284.8125,292.75,312,585.1875,606,623.0625,0.32737069,0.325730181,0.333667536,0.67262931,0.674269819,0.666332464,314.6913321,3850.028162,342.5094015,3588.581703,344.8018574,3594.346544,8810000000,22220000000,0.4,0.00797275,0.011107729,0.009864742,2334.822517,1.61437E+11
110,"Hamilton, ON",2016,2012,16469283,,"(43.250021, -79.866091)",Canada,519949,2011,1117,,75,8.2,,,3,26.9,2011,1.16,1.17,,,,,,,,,,,,,,,,,,,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,465.4870188,32000000000
111,Handan,2016,2010,,0.754109514,"(36.6, 114.48333333299999)",China,941427,,142,148.1,,,36975.23,,,,,1.09,1.17,114.5625,138.4375,154.875,204.125,243.0625,312.5625,0.359482251,0.362876802,0.331327718,0.640517749,0.637123198,0.668672282,843.0475174,8124.319905,569.4344229,5476.852673,415.3246909,4839.032609,,,,,,,6629.767606,8187687486
112,Hangzhou,2016,2010,,3.188562052,"(30.25, 120.166666667)",China,6663100,,8000,672.4,,,49936.46,72.69784352,2.93,,,1.09,1.17,1248.25,1372.3125,1264.5625,753.0625,1064.625,1766.625,0.623715687,0.563129953,0.417183859,0.376284313,0.436870047,0.582816141,1753.130534,11980.15542,642.4822982,5787.125994,508.0590208,4957.715,,,,,,,832.8875,71289935283
113,Hat Yai,2016,2013,,,"(7.016210000000001, 100.47288)",Thailand,159614,2016,21,,,,,,,,,0.9,1.29,54.0625,61.1875,63.125,37.5625,50,65.875,0.590040928,0.550309162,0.489341085,0.409959072,0.449690838,0.510658915,224.4242489,1665.531946,687.549837,5371.956941,616.9845746,4995.044879,,,,,,,7600.666667,3921.066942
114,Hayward,2016,2015,1048704,,"(37.6689, -122.0808)",USA,158985,2015,117,,32,11.8,,,3.2,30.9,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1358.846154,4.11969E+11
115,Hefei,2016,2010,,1.32,"(31.866666666700002, 117.28333333299999)",China,4698500,,7029.48,393.7,,,40652.46,47.47912001,3.49,,,1.09,1.17,218.625,292.75,335.125,162,220.6875,454.8125,0.574384236,0.570176506,0.424242424,0.425615764,0.429823494,0.575757576,679.5318461,6237.100525,1777.412611,14216.66509,920.4702039,9284.767111,,,,,,,668.3993695,28878915311
116,Hegang,2016,2010,,0.3780478,"(47.35, 130.3)",China,664471,,11849,64.7,,,30882.52,,,,,1.09,1.17,53.125,58,61.375,110.75,120.25,130.375,0.324180015,0.325385694,0.320078227,0.675819985,0.674614306,0.679921773,629.4652207,9357.188856,780.1068367,5283.447872,584.4587048,4504.639537,,,,,,,56.07823445,2441113758
117,Heidelberg,2016,2011,879900,,"(49.398752, 8.672434)",Germany,144948,2014,109,,114,13.2,,,1.7,26.6,2012,1.58,1.8,41.4375,44.5,44.375,70.8125,75.5,84.0625,0.369153675,0.370833333,0.345498783,0.630846325,0.629166667,0.654501217,310.6566363,2694.167899,348.2906756,3299.535002,338.4861766,3153.61681,8810000000,22220000000,0.4,0.00797275,0.011107729,0.009864742,1329.798165,8474850000
118,Heilongjiang,2016,2010,,0.363462839,"(47.7333333333, 128.9)",China,1148126,2010,39017,61.8,,,16261.46,,,,,1.09,1.17,14.1875,15.4375,17.375,19.6875,21.75,24.1875,0.418819188,0.41512605,0.418045113,0.581180812,0.58487395,0.581954887,282.1359466,3630.786347,1460.247576,5610.855563,800.2907542,4445.783379,,,,,,,29.42630136,2042832396
119,Helsinki,2016,2014,4885930,,"(60.1733244, 24.9410248)",Finland,612664,2014,214,,,5.9,,92.61386054,1.88,26.2,2011,1.78,1.89,167.4375,180.125,193.5625,210.8125,254.3125,294.875,0.442663582,0.414616602,0.396289187,0.557336418,0.585383398,0.603710813,853.6077862,6395.71548,396.318278,3399.855048,367.3537384,3676.303631,0,1,0,0.052871413,0.054185388,0.054185388,2862.915888,77084000000
120,Hengyang,2016,2010,,0.323948074,"(26.9, 112.6)",China,1135166,,722,94.4,,,34931.28,,,,,1.09,1.17,129.8125,163.25,169.0625,74.5625,113.0625,136,0.635168196,0.590816557,0.554189715,0.364831804,0.409183443,0.445810285,3156.408702,11716.26013,1307.619692,8565.887713,1063.50549,7790.017932,,,,,,,1572.252078,5842558728
121,"Hermosa Beach, CA",2016,2012,126611,,"(33.8622, -118.3995)",USA,19750,2015,2.3,,8,18,,,2.15,31.7,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,8586.956522,
122,Hiroshima,2016,2014,8675437,,"(34.385203, 132.455293)",Japan,1191030,2015,907,,165.6,16.6,,,2.25,27.9,2013,1.1,1.38,153.875,160.25,166.8125,257.625,278.4375,279.8125,0.373936817,0.365294201,0.373495662,0.626063183,0.634705799,0.626504338,227.5328107,2534.606729,464.5775097,5029.550591,459.4404599,4910.892189,0,1,0,0.002518209,0.002887223,0.002887223,1313.153252,74932000000
123,Hjørring,2016,2014,417000,,"(57.456779, 9.995764)",Denmark,65308,2016,7.5,,22,7.5,,,2.10208293,,,1.8,2.01,10.1875,13.875,14.6875,13.25,14.875,16.25,0.434666667,0.482608696,0.474747475,0.565333333,0.517391304,0.525252525,290.250118,2660.400438,197.0401807,1733.994035,187.8396897,1592.940369,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,8707.733333,2726860902
124,Hoeje-Taastrup Kommune,2016,2014,297000,,"(55.656328, 12.2898)",Denmark,50002,2016,78,,27,8.1,,,2.324389789,,,1.8,2.01,,,,,,,,,,,,,,,,,,,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,641.0512821,3402000000
125,Hohhot,2016,2010,,1.52,"(40.8166666667, 111.65)",China,2158100,,17224,244.9,,,41255.52,180.4745946,3.15,,,1.09,1.17,78.9375,97.3125,128.125,98.6875,116.625,168,0.444405348,0.454864154,0.432672014,0.555594652,0.545135846,0.567327986,683.1305906,9070.529676,2126.490935,11980.60912,1582.236597,11081.16809,,,,,,,125.2960985,17968990646
126,Hong Kong,2017,2014,44900000,,"(22.2880809, 114.1398015)",China,7336600,2016,1104,,129,23.3,,68.54388843,2.99,41.33,2014-2017,1.56,2.06,4285,4402.3125,4754.25,3414.875,4930.9375,6262.4375,0.556502541,0.471680551,0.431549865,0.443497459,0.528319449,0.568450135,371.0285569,6520.306042,814.776761,7919.364395,826.6934739,8758.235661,0,1,0,0.015723328,0.02065485,0.02065485,6645.471014,4.16047E+11
127,Houston,2016,2014,33428301,,"(29.7601927, -95.3693896)",USA,2195914,2013,1625,,13,21,,,2.83,26.5,(2011-2015) ,0.97,0.86,1409.625,1471.8125,1326.3125,2684.1875,3027.875,3725.6875,0.344330621,0.327092159,0.262532165,0.655669379,0.672907841,0.737467835,413.9522533,1751.747842,253.1682693,1216.880164,159.0568957,1488.149122,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1351.331692,4.83184E+11
128,Huaibei,2016,2010,,1.18104,"(33.58, 116.47)",China,1113321,,748.4,99.9,,,44978.6,,,,,1.09,1.17,84.8125,103.125,115.8125,72.375,93.3125,142.3125,0.539562624,0.524976137,0.448668281,0.460437376,0.475023863,0.551331719,2098.949316,11355.34925,1921.975105,9771.131578,1186.128851,8106.047991,,,,,,,1487.60155,5244641196
129,Huainan,2016,2010,,0.78,"(32.6166666667, 116.98333333299999)",China,1666826,,1492.3,165.7,,,47477.12,,,,,1.09,1.17,81.5,86.75,99,100.3125,107.6875,136.1875,0.448264008,0.446158791,0.420940739,0.551735992,0.553841209,0.579059261,1718.684184,9516.356003,2303.020671,8612.881599,1842.017205,8166.386387,,,,,,,1116.951015,6489834175
130,Huangshi,2016,2010,,0.40832237,"(30.2166666667, 115.083333333)",China,691963,,233.8,122.3,,,28787.55,,,,,1.09,1.17,147,167.125,204.375,80.75,93.6875,153.125,0.645444566,0.640786005,0.571678322,0.354555434,0.359213995,0.428321678,1688.534142,12898.76633,1528.084154,10581.71961,775.5272349,6728.641563,,,,,,,2959.636441,5301054752
131,Hue,2016,2011,,,"(16.450001, 107.58333600000002)",Vietnam,354544,2014,70.67,,,,,,,,,0.91,1.04,52.4375,53.25,52.75,34.1875,35.125,36.5,0.605339105,0.602545969,0.591036415,0.394660895,0.397454031,0.408963585,1107.976896,5110.623662,1700.880499,12329.48153,1667.586705,12319.31729,,,,,,,5016.895429,930583326.4
132,Hyderabad,2016,2010,,,"(17.366, 78.476)",India,6731790,2011,650,,,,,,,,,0.91,1.1,444.75,534.0625,637.5625,371.625,575.5625,863,0.544786403,0.481299989,0.424882336,0.455213597,0.518700011,0.575117664,2007.777176,14974.08983,946.0618556,11349.04809,847.1998811,10066.38843,,,,,,,10356.6,58000000000
133,Incheon,2016,2015,69794140,,"(37.456256, 126.705206)",South Korea,2983484,2015,1381,,26,12.7,,,2.65,42.7,2017,1.37,1.55,,,,,,,,,,,,,,,,,,,0,1,0,0.010932594,0.015716213,0.015716213,2160.379435,8.45906E+11
134,Indianapolis,2017,2013,2160364.98,,"(39.767625, -86.178469)",USA,853000,2015,953,,230,11.7,,,2.5,22.8,(2011-2015) ,0.97,0.86,537.9375,544.9375,528.625,835.3125,1099.1875,1241,0.391725833,0.331445298,0.298721481,0.608274167,0.668554702,0.701278519,377.6362021,1296.832616,230.9426819,984.0050438,189.6971924,1136.008063,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,895.0682057,1.13606E+11
135,Indore,2016,2007,,,"(22.723481, 75.860184)",India,2197447,2011,389.8,,,,,,,,,0.91,1.1,129.25,166.4375,212.625,112.6875,146,251.9375,0.534228881,0.532706541,0.457688686,0.465771119,0.467293459,0.542311314,1435.864091,14513.37571,1526.276393,13801.49946,1384.235914,12257.59534,,,,,,,5637.370446,4000000000
136,Iowa,2016,2013,1298620,,"(41.6611, -91.5302)",USA,73415,2015,65.5,,203,10.5,,,2.24,16.4,(2011-2015) ,0.97,0.86,33.5625,37.3125,38.625,37.8125,44,49.75,0.470227671,0.458877786,0.437057992,0.529772329,0.541122214,0.562942008,345.2721167,1380.714362,411.3973917,1396.331498,449.8702421,1642.595378,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1120.839695,8879000000
137,Istanbul,2016,2010,,,"(41.00824, 28.978359)",Turkey,14657434,2015,5343,,,,,36.15,3.85,,,1.9,2.06,409.75,399.4375,395.6875,878.4375,1017.3125,1132.75,0.318082577,0.281939298,0.258883664,0.681917423,0.718060702,0.741116336,1042.044423,7218.616933,689.4658,10141.65533,835.8241114,12839.619,,,,,,,2743.29665,3.48721E+11
